<TICKER>;<PER>;<DATE>;<TIME>;LAST;<VOL>
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;120
GAZP;0;18.02.2021;9:59:51;229.000000000;40
GAZP;0;18.02.2021;9:59:51;229.000000000;40
GAZP;0;18.02.2021;9:59:51;229.000000000;120
GAZP;0;18.02.2021;9:59:51;229.000000000;200
GAZP;0;18.02.2021;9:59:51;229.000000000;180
GAZP;0;18.02.2021;9:59:51;229.000000000;50
GAZP;0;18.02.2021;9:59:51;229.000000000;450
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;90
GAZP;0;18.02.2021;9:59:51;229.000000000;150
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;2520
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;80
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;20
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;1080
GAZP;0;18.02.2021;9:59:51;229.000000000;100
GAZP;0;18.02.2021;9:59:51;229.000000000;70
GAZP;0;18.02.2021;9:59:51;229.000000000;200
GAZP;0;18.02.2021;9:59:51;229.000000000;2730
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;290
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;1330
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;100
GAZP;0;18.02.2021;9:59:51;229.000000000;2000
GAZP;0;18.02.2021;9:59:51;229.000000000;1410
GAZP;0;18.02.2021;9:59:51;229.000000000;600
GAZP;0;18.02.2021;9:59:51;229.000000000;100
GAZP;0;18.02.2021;9:59:51;229.000000000;280
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;280
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;300
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;60
GAZP;0;18.02.2021;9:59:51;229.000000000;100
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;20
GAZP;0;18.02.2021;9:59:51;229.000000000;480
GAZP;0;18.02.2021;9:59:51;229.000000000;520
GAZP;0;18.02.2021;9:59:51;229.000000000;310
GAZP;0;18.02.2021;9:59:51;229.000000000;170
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;20
GAZP;0;18.02.2021;9:59:51;229.000000000;1000
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;210
GAZP;0;18.02.2021;9:59:51;229.000000000;80
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;70
GAZP;0;18.02.2021;9:59:51;229.000000000;340
GAZP;0;18.02.2021;9:59:51;229.000000000;20
GAZP;0;18.02.2021;9:59:51;229.000000000;640
GAZP;0;18.02.2021;9:59:51;229.000000000;1000
GAZP;0;18.02.2021;9:59:51;229.000000000;1360
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;500
GAZP;0;18.02.2021;9:59:51;229.000000000;380
GAZP;0;18.02.2021;9:59:51;229.000000000;250
GAZP;0;18.02.2021;9:59:51;229.000000000;100
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;200
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;9:59:51;229.000000000;10
GAZP;0;18.02.2021;10:00:01;228.980000000;10
GAZP;0;18.02.2021;10:00:01;228.800000000;50
GAZP;0;18.02.2021;10:00:01;228.970000000;10
GAZP;0;18.02.2021;10:00:01;228.950000000;200
GAZP;0;18.02.2021;10:00:01;228.950000000;100
GAZP;0;18.02.2021;10:00:01;228.950000000;500
GAZP;0;18.02.2021;10:00:01;228.950000000;500
GAZP;0;18.02.2021;10:00:01;228.950000000;250
GAZP;0;18.02.2021;10:00:01;228.950000000;100
GAZP;0;18.02.2021;10:00:01;228.950000000;400
GAZP;0;18.02.2021;10:00:01;228.950000000;60
GAZP;0;18.02.2021;10:00:01;228.960000000;940
GAZP;0;18.02.2021;10:00:01;228.940000000;400
GAZP;0;18.02.2021;10:00:01;228.830000000;10
GAZP;0;18.02.2021;10:00:01;228.940000000;400
GAZP;0;18.02.2021;10:00:01;228.940000000;600
GAZP;0;18.02.2021;10:00:01;228.960000000;10
GAZP;0;18.02.2021;10:00:02;228.960000000;10
GAZP;0;18.02.2021;10:00:02;228.830000000;100
GAZP;0;18.02.2021;10:00:02;228.820000000;120
GAZP;0;18.02.2021;10:00:02;228.820000000;10
GAZP;0;18.02.2021;10:00:02;228.800000000;870
GAZP;0;18.02.2021;10:00:02;228.810000000;100
GAZP;0;18.02.2021;10:00:02;228.800000000;140
GAZP;0;18.02.2021;10:00:02;228.790000000;710
GAZP;0;18.02.2021;10:00:03;228.750000000;1000
GAZP;0;18.02.2021;10:00:03;228.760000000;100
GAZP;0;18.02.2021;10:00:03;228.750000000;1250
GAZP;0;18.02.2021;10:00:03;228.860000000;330
GAZP;0;18.02.2021;10:00:03;228.870000000;620
GAZP;0;18.02.2021;10:00:05;228.770000000;600
GAZP;0;18.02.2021;10:00:05;228.670000000;180
GAZP;0;18.02.2021;10:00:05;228.670000000;320
GAZP;0;18.02.2021;10:00:05;228.770000000;10
GAZP;0;18.02.2021;10:00:06;228.650000000;10
GAZP;0;18.02.2021;10:00:06;228.650000000;500
GAZP;0;18.02.2021;10:00:06;228.770000000;400
GAZP;0;18.02.2021;10:00:07;228.770000000;300
GAZP;0;18.02.2021;10:00:08;228.770000000;100
GAZP;0;18.02.2021;10:00:08;228.770000000;590
GAZP;0;18.02.2021;10:00:08;228.800000000;350
GAZP;0;18.02.2021;10:00:08;228.870000000;1560
GAZP;0;18.02.2021;10:00:08;228.660000000;50
GAZP;0;18.02.2021;10:00:09;228.660000000;400
GAZP;0;18.02.2021;10:00:09;228.660000000;3150
GAZP;0;18.02.2021;10:00:09;228.650000000;110
GAZP;0;18.02.2021;10:00:09;228.620000000;1560
GAZP;0;18.02.2021;10:00:10;228.790000000;100
GAZP;0;18.02.2021;10:00:10;228.630000000;100
GAZP;0;18.02.2021;10:00:10;228.620000000;800
GAZP;0;18.02.2021;10:00:10;228.780000000;10
GAZP;0;18.02.2021;10:00:10;228.780000000;500
GAZP;0;18.02.2021;10:00:10;228.780000000;100
GAZP;0;18.02.2021;10:00:10;228.780000000;190
GAZP;0;18.02.2021;10:00:10;228.790000000;110
GAZP;0;18.02.2021;10:00:10;228.790000000;300
GAZP;0;18.02.2021;10:00:10;228.790000000;400
GAZP;0;18.02.2021;10:00:13;228.770000000;10
GAZP;0;18.02.2021;10:00:13;228.770000000;20
GAZP;0;18.02.2021;10:00:13;228.600000000;10
GAZP;0;18.02.2021;10:00:13;228.590000000;840
GAZP;0;18.02.2021;10:00:13;228.580000000;160
GAZP;0;18.02.2021;10:00:13;228.560000000;60
GAZP;0;18.02.2021;10:00:14;228.730000000;300
GAZP;0;18.02.2021;10:00:14;228.600000000;700
GAZP;0;18.02.2021;10:00:14;228.710000000;10
GAZP;0;18.02.2021;10:00:14;228.710000000;10
GAZP;0;18.02.2021;10:00:14;228.710000000;90
GAZP;0;18.02.2021;10:00:15;228.560000000;80
GAZP;0;18.02.2021;10:00:15;228.710000000;20
GAZP;0;18.02.2021;10:00:15;228.710000000;20
GAZP;0;18.02.2021;10:00:15;228.560000000;20
GAZP;0;18.02.2021;10:00:15;228.550000000;10
GAZP;0;18.02.2021;10:00:15;228.550000000;70
GAZP;0;18.02.2021;10:00:15;228.670000000;200
GAZP;0;18.02.2021;10:00:15;228.670000000;30
GAZP;0;18.02.2021;10:00:15;228.670000000;10
GAZP;0;18.02.2021;10:00:16;228.670000000;260
